Number;Property;Title;Value;Format;State;Id;
;standardversion;Версия методических рекомендаций;https://data.gov.ru/metodicheskie-rekomendacii-po-publikacii-otkrytyh-dannyh-versiya-30;
1;7704786030-fares;Тарифы на проезд в городском пассажирском транспорте;https://data.mos.ru/apiproxy/opendata/7704786030-tarify-na-proezd-v-gorodskom-passajirskom-transporte/meta.csv;csv;Активный;658;
2;7704786030-Responsibletram;Ответственные балансодержатели межрельсового покрытия участков трамвайных путей;https://data.mos.ru/apiproxy/opendata/7704786030-otvetstvennye-balansoderjateli-mejrelsovogo-pokrytiya-uchastkov-tramvaynyh-putey/meta.csv;csv;Активный;1046;
3;7704786030-taxi;Выданные разрешения на осуществление деятельности по перевозке пассажиров и багажа легковым такси;https://data.mos.ru/apiproxy/opendata/7704786030-vydannye-razresheniya-na-osushchestvlenie-deyatelnosti-po-perevozke-passajirov-i-bagaja-legkovym-taksi/meta.csv;csv;Активный;655;
4;7708308010-Sportsfacilities;Спортивные объекты города Москвы;https://data.mos.ru/apiproxy/opendata/7708308010-sportivnye-obekty-goroda-moskvy/meta.csv;csv;Активный;629;
5;7704782036-XMLschema;(Архив) XML-схема, используемая для подготовки проектных деклараций в формате XML;https://data.mos.ru/apiproxy/opendata/7704782036-xml-shema-ispolzuemaya-dlya-podgotovki-proektnyh-deklaratsiy-v-formate-xml/meta.csv;csv;Архивный;3181;
6;7704786030-Ticketsforsuburbantrains;(Архив) Продажа билетов на пригородные поезда;https://data.mos.ru/apiproxy/opendata/7704786030-prodaja-biletov-na-prigorodnye-poezda/meta.csv;csv;Архивный;671;
7;7704786030-PointsNGPT;Точки продажи билетов для проезда в общественном городском пассажирском транспорте;https://data.mos.ru/apiproxy/opendata/7704786030-tochki-prodaji-biletov-dlya-proezda-v-nazemnom-gorodskom-passajirskom-transporte/meta.csv;csv;Активный;673;
8;7707639796-garage;(Архив) Объекты гаражного назначения ГУП «Дирекция гаражного строительства»;https://data.mos.ru/apiproxy/opendata/7707639796-obekty-garajnogo-naznacheniya-gup-direktsiya-garajnogo-stroitelstva/meta.csv;csv;Архивный;588;
9;7704111479-Governmentciviregistration;Органы записи актов гражданского состояния (структурные подразделения Управления ЗАГС Москвы);https://data.mos.ru/apiproxy/opendata/7704111479-organy-zags-moskvy/meta.csv;csv;Активный;589;
10;9710068955-priorityproducts;Перечень инновационной, высокотехнологичной продукции и технологий;https://data.mos.ru/apiproxy/opendata/9710068955-perechen-prioritetnyh-produktov-i-tehnologiy-ispolzuemyh-v-otraslyah-gorodskogo-hozyaystva/meta.csv;csv;Активный;593;
11;7710168515-tarifynakommunalnyeuslugi2019;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2019 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2019-god/meta.csv;csv;Архивный;61421;
12;7701236617-grant;Районные отделы жилищных субсидий Государственного казенного учреждения города Москвы «Городской центр жилищных субсидий»;https://data.mos.ru/apiproxy/opendata/7701236617-gorodskie-otdely-jilishchnyh-subsidiy/meta.csv;csv;Активный;594;
13;7704253064-streetchilds;(Архив) Городской центр "Дети улиц";https://data.mos.ru/apiproxy/opendata/7704253064-gorodskoy-tsentr-deti-ulits/meta.csv;csv;Архивный;597;
14;7704253064-Pensionsforveterans;Пансионаты для ветеранов;https://data.mos.ru/apiproxy/opendata/7704253064-pansionaty-dlya-veteranov/meta.csv;csv;Активный;600;
15;7704253064-Neuropsychiatricboarding;Психоневрологические интернаты;https://data.mos.ru/apiproxy/opendata/7704253064-psihonevrologicheskie-internaty/meta.csv;csv;Активный;601;
16;7704253064-Localsocialservicecenters;Территориальные центры социального обслуживания;https://data.mos.ru/apiproxy/opendata/7704253064-territorialnye-tsentry-sotsialnogo-obslujivaniya-i-filialy/meta.csv;csv;Активный;602;
17;7704253064-Rehabilitationcenters;(Архив) Центры реабилитации;https://data.mos.ru/apiproxy/opendata/7704253064-tsentry-reabilitatsii/meta.csv;csv;Архивный;606;
18;7710881420-Objectsritualservice;Объекты ритуального обслуживания;https://data.mos.ru/apiproxy/opendata/7710881420-obekty-ritualnogo-obslujivaniya/meta.csv;csv;Активный;607;
19;7704253064-SocialAssistanceCenter;Центры социальной помощи семье и детям;https://data.mos.ru/apiproxy/opendata/7704253064-tsentry-sotsialnoy-pomoshchi-seme-i-detyam/meta.csv;csv;Активный;604;
20;-Multifunctionalcenters;Многофункциональные центры предоставления государственных и муниципальных услуг;https://data.mos.ru/apiproxy/opendata/-mnogofunktsionalnye-tsentry-predostavleniya-gosudarstvennyh-uslug/meta.csv;csv;Активный;611;
21;7705021556-cultureboundary;Границы территорий объектов культурного наследия;https://data.mos.ru/apiproxy/opendata/7705021556-granitsy-territoriy-obektov-kulturnogo-naslediya/meta.csv;csv;Активный;614;
22;7710878000-Nestatsionarnyetorgovyeobekty;Нестационарные торговые объекты;https://data.mos.ru/apiproxy/opendata/7710878000-nestatsionarnye-torgovye-obekty/meta.csv;csv;Активный;619;
23;7704253064-Reestrpostavschikovsotsialnyhuslug;Реестр поставщиков социальных услуг;https://data.mos.ru/apiproxy/opendata/7704253064-reestr-postavshchikov-sotsialnyh-uslug/meta.csv;csv;Активный;61383;
24;7704236196-Grafikrabotysudebnyhuchastkov;График работы судебных участков;https://data.mos.ru/apiproxy/opendata/7704236196-grafik-raboty-sudebnyh-uchastkov/meta.csv;csv;Активный;61443;
25;7704236196-TerritorialnayapodsudnostvsootvetstviisZakonomgorodaMoskvyot15oktyabrya2003goda60OsozdaniisudebnyhuchastkovidolzhnosteymirovyhsudeygorodaMoskvy;Территориальная подсудность в соответствии с Законом города Москвы от 15 октября 2003 года № 60 «О создании судебных участков и должностей мировых судей города Москвы»;https://data.mos.ru/apiproxy/opendata/7704236196-territorialnaya-podsudnost-v-sootvetstvii-s-zakonom-goroda-moskvy-ot-15-oktyabrya-2003-goda-60-o-sozdanii-sudebnyh-uchastkov-i-doljnostey-mirovyh-sudey-goroda-moskvy/meta.csv;csv;Активный;61445;
26;7704786030-Bikeparking;Перехватывающие парковки;https://data.mos.ru/apiproxy/opendata/7704786030-perehvatyvayushchie-parkovki/meta.csv;csv;Активный;622;
27;7704786030-metro;Входы и выходы вестибюлей станций Московского метрополитена;https://data.mos.ru/apiproxy/opendata/7704786030-vhody-i-vyhody-vestibyuley-stantsiy-moskovskogo-metropolitena/meta.csv;csv;Активный;624;
28;7719028495-Progymnasium;(Архив) Прогимназия;https://data.mos.ru/apiproxy/opendata/7719028495-progimnaziya/meta.csv;csv;Архивный;557;
29;7719028495-Sanatoriumboardingschool;(Архив) Санаторная школа-интернат;https://data.mos.ru/apiproxy/opendata/7719028495-sanatornaya-shkola-internat/meta.csv;csv;Архивный;559;
30;7719028495-ElementarySchoolKindergarten;(Архив) Начальная школа - детский сад;https://data.mos.ru/apiproxy/opendata/7719028495-nachalnaya-shkola-detskiy-sad/meta.csv;csv;Архивный;555;
